Day	Time	Open	High	Low	Close	Volume
29.04.2019	04:46	5.94901	5.94902	5.94901	5.94901	8250000
29.04.2019	04:47	5.94901	5.95061	5.94887	5.94910	93699998856
29.04.2019	04:48	5.94911	5.94911	5.94906	5.94907	6000000
29.04.2019	04:49	5.94906	5.94907	5.94906	5.94907	6000000
29.04.2019	04:50	5.94906	5.94907	5.94906	5.94907	6000000
29.04.2019	04:51	5.94906	5.94907	5.94904	5.94905	9000000
29.04.2019	04:52	5.94904	5.94905	5.94904	5.94904	9000000
29.04.2019	04:53	5.94904	5.94924	5.94904	5.94921	26250000
29.04.2019	04:54	5.94921	5.94921	5.94920	5.94920	9000000
29.04.2019	04:55	5.94921	5.94938	5.94920	5.94937	9000000
29.04.2019	04:56	5.94936	5.94936	5.94935	5.94936	4500000
29.04.2019	04:57	5.94935	5.95100	5.94880	5.95100	82299995422
29.04.2019	04:58	5.95100	5.95100	5.95037	5.95043	134899997711
29.04.2019	04:59	5.95044	5.95062	5.95043	5.95062	9750000
29.04.2019	05:00	5.95062	5.95079	5.95062	5.95079	9000000
29.04.2019	05:01	5.95080	5.95081	5.95080	5.95081	7500000
29.04.2019	05:02	5.95082	5.95096	5.95073	5.95084	12750000
29.04.2019	05:03	5.95085	5.95182	5.95056	5.95182	164899997711
29.04.2019	05:04	5.95182	5.95182	5.95154	5.95154	29600000381
29.04.2019	05:05	5.95154	5.95276	5.95126	5.95126	243299999237
29.04.2019	05:06	5.95126	5.95148	5.95126	5.95148	29600000381
29.04.2019	05:07	5.95169	5.95267	5.95169	5.95267	14250000
29.04.2019	05:08	5.95269	5.95281	5.95084	5.95085	191200008392
29.04.2019	05:09	5.95085	5.95092	5.95077	5.95087	146099996567
29.04.2019	05:10	5.95087	5.95088	5.95085	5.95086	9750000
29.04.2019	05:11	5.95085	5.95087	5.95085	5.95087	56199998856
29.04.2019	05:12	5.95087	5.95088	5.95087	5.95088	11100000143
29.04.2019	05:13	5.95088	5.95229	5.95088	5.95228	89899997711
29.04.2019	05:14	5.95230	5.95263	5.95226	5.95253	18750000
29.04.2019	05:15	5.95253	5.95264	5.95250	5.95260	24000000
29.04.2019	05:16	5.95261	5.95261	5.95214	5.95217	15750000
29.04.2019	05:17	5.95219	5.95224	5.95218	5.95223	15000000
29.04.2019	05:18	5.95224	5.95228	5.95224	5.95228	7500000
29.04.2019	05:19	5.95227	5.95228	5.95227	5.95228	7500000
29.04.2019	05:20	5.95227	5.95229	5.95227	5.95228	4500000
29.04.2019	05:21	5.95229	5.95229	5.95228	5.95229	3750000
29.04.2019	05:22	5.95228	5.95229	5.95225	5.95226	9000000
29.04.2019	05:23	5.95224	5.95225	5.95224	5.95225	2250000
29.04.2019	05:24	5.95225	5.95225	5.95225	5.95225	750000
29.04.2019	05:25	5.95225	5.95237	5.95225	5.95236	8250000
29.04.2019	05:26	5.95235	5.95238	5.95234	5.95238	17250000
29.04.2019	05:27	5.95233	5.95245	5.95233	5.95245	12750000
29.04.2019	05:28	5.95246	5.95248	5.95245	5.95247	19500000
29.04.2019	05:29	5.95248	5.95298	5.95247	5.95290	16500000
29.04.2019	05:30	5.95290	5.95300	5.95287	5.95300	17250000
29.04.2019	05:31	5.95299	5.95373	5.95177	5.95190	399799995422
29.04.2019	05:32	5.95190	5.95190	5.95128	5.95156	238600006104
29.04.2019	05:33	5.95157	5.95165	5.95136	5.95138	122100000381
29.04.2019	05:34	5.95137	5.95146	5.95117	5.95118	99899997711
29.04.2019	05:35	5.95119	5.95163	5.95107	5.95162	123100004196
29.04.2019	05:36	5.95163	5.95182	5.95157	5.95159	24750000
29.04.2019	05:37	5.95157	5.95159	5.94835	5.94915	327799987793
29.04.2019	05:38	5.94916	5.94941	5.94847	5.94941	497000007629
29.04.2019	05:39	5.94941	5.94977	5.94941	5.94947	201700000763
29.04.2019	05:40	5.94949	5.94978	5.94948	5.94948	41199998856
29.04.2019	05:41	5.94975	5.94975	5.94948	5.94948	123699998856
29.04.2019	05:42	5.94947	5.94973	5.94947	5.94973	7500000
29.04.2019	05:43	5.94972	5.94972	5.94945	5.94946	12750000
29.04.2019	05:44	5.94946	5.94946	5.94945	5.94946	7500000
29.04.2019	05:45	5.94946	5.94946	5.94945	5.94946	6750000
29.04.2019	05:46	5.94946	5.94946	5.94945	5.94946	6750000
29.04.2019	05:47	5.94946	5.94946	5.94945	5.94946	6000000
29.04.2019	05:48	5.94947	5.94948	5.94945	5.94945	10500000
29.04.2019	05:49	5.94944	5.94948	5.94944	5.94948	4500000
29.04.2019	05:50	5.94948	5.94948	5.94947	5.94947	5250000
29.04.2019	05:51	5.94948	5.94948	5.94948	5.94948	3750000
29.04.2019	05:52	5.94948	5.94948	5.94947	5.94947	3000000
29.04.2019	05:53	5.94948	5.94948	5.94947	5.94948	3750000
29.04.2019	05:54	5.94947	5.94948	5.94947	5.94948	4500000
29.04.2019	05:55	5.94947	5.94948	5.94947	5.94948	3750000
29.04.2019	05:56	5.94947	5.94947	5.94947	5.94947	2250000
29.04.2019	05:57	5.94948	5.94974	5.94947	5.94948	4500000
29.04.2019	05:58	5.94949	5.94949	5.94948	5.94949	3750000
29.04.2019	05:59	5.94949	5.94975	5.94948	5.94975	9000000
29.04.2019	06:00	5.94975	5.94983	5.94946	5.94983	93500003815
29.04.2019	06:01	5.94983	5.94985	5.94983	5.94984	8250000
29.04.2019	06:02	5.94984	5.94987	5.94957	5.94980	12750000
29.04.2019	06:03	5.94983	5.94985	5.94982	5.94985	3000000
29.04.2019	06:04	5.94984	5.94987	5.94983	5.94987	9000000
29.04.2019	06:05	5.94986	5.94987	5.94986	5.94986	4500000
29.04.2019	06:06	5.94987	5.95006	5.94973	5.95001	12750000
29.04.2019	06:07	5.95006	5.95007	5.95003	5.95005	13500000
29.04.2019	06:08	5.95005	5.95005	5.94977	5.95005	12750000
29.04.2019	06:09	5.95004	5.95006	5.94955	5.94977	13500000
29.04.2019	06:10	5.94976	5.95008	5.94941	5.95002	20250000
29.04.2019	06:11	5.95002	5.95005	5.95002	5.95005	2250000
29.04.2019	06:12	5.95005	5.95010	5.95005	5.95007	11250000
29.04.2019	06:13	5.95007	5.95008	5.95006	5.95008	12000000
29.04.2019	06:14	5.95009	5.95014	5.95000	5.95014	5250000
29.04.2019	06:15	5.95013	5.95014	5.95013	5.95014	6000000
29.04.2019	06:16	5.95016	5.95016	5.95015	5.95015	6000000
29.04.2019	06:17	5.95014	5.95018	5.95014	5.95018	9000000
29.04.2019	06:18	5.95018	5.95018	5.95016	5.95017	8250000
29.04.2019	06:19	5.95017	5.95018	5.95017	5.95018	16299999952
29.04.2019	06:20	5.95018	5.95018	5.95000	5.95000	24200000763
